κρητικός φούρνος αεβε;082462123;14,30; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
ελτα;094026421;1,30; 
παγκρήτια τράπεζα;096121548;160,10; 
grand πιτσαρία;998864289;6,00; 
οτε;094019245;51,50; 
carfourre;999842977;37,990; 
carfourre;999842977;9,610; 
dia;998163111;2,10; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
amazon;998770297;24,670; 
cosmos center-κ. σκουτελης & σια ο.ε;998293741;3,50; 
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00; 
plus4u;998299315;55,20; 
lidl;093683423;33,720; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
δεη;090000045;53,50; 
cosmote;094493766;15,270; 
cosmote;094493766;12,860; 
carfourre;999842977;47,470; 
carfourre;999842977;15,640; 
ελτα;094026421;1,00; 
κουμουλας αε βενζιναδικο;999678050;15,00; 
minoan lines;094049145;38,50; 
3ix;3ix;8,520; 
παπασωτηρίου βιβλιοπωλείο;094397477;8,950; 
lidl;093683423;16,50; 
ξενοδοχείο stanley;094013290;120,00; 
village cinemas;094504693;9,50; 
κολομβου μονοπροσωπη επε-αναψυκτηριο;099378473;1,950; 
ξενοδοχείο stanley;094013290;13,50; 
οασα;oasa;1,40; 
οασα;oasa;1,40; 
minoan lines;094049145;19,20; 
αικατερινη νικα-καφενειο;035259740;3,00; 
αικατερινη νικα-καφενειο;035259740;5,00; 
αικατερινη νικα-καφενειο;035259740;10,00; 
carfourre;999842977;10,650; 
οασα;oasa;4,00; 
ισηγονης γεωργιος καφε εστιατοριο;014274507;8,50; 
αφοι γλεντζακη επε everest;999962477;3,60; 
αφοι γλεντζακη επε everest;999962477;2,70; 
superfast ferries (attica ferries m.c);998047751;1,30; 
superfast ferries (attica ferries m.c);998047751;10,10; 
superfast ferries (attica ferries m.c);998047751;10,00; 
superfast ferries (attica ferries m.c);998047751;19,00; 
afisorama;036746575;2,70; 
σερραικον μπουγατσα-πιτσα;042376865;2,00; 
αριάδνη σουπερ μαρκετ;998865815;13,970; 
παγκρήτια τράπεζα;096121548;160,10; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
ουτοπία δ. τζανάκης & σια ο.ε;082283077;5,50; 
dia;998163111;5,940; 
dia;998163111;12,140; 
dia;998163111;2,910; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
dia;998163111;3,070; 
sell-trade-ebay;selltrad;10,110; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
κουμουλας αε βενζιναδικο;999678050;22,00; 
απλαδά αριστέα σουπερ μάρκετ;047622387;3,70; 
cosmote;094493766;5,640; 
κουμουλας αε βενζιναδικο;999678050;15,50; 
